txn_id|create_time|amount|cust_id|status|merchant_id|create_time_ist
3509928476|20190101|292|7155966814|0|10492|2019-01-01 00:15:25
3509960732|20190101|199|7155969502|0|259|2019-01-01 01:15:41
3509992988|20190101|885.9|7155972190|0|1429|2019-01-01 04:07:17
3510025244|20190101|119|7155974878|0|262|2019-01-01 07:06:56
3510057500|20190101|169|7155977566|1|259|2019-01-01 07:56:02
3510089756|20190101|399|7155980254|0|268|2019-01-01 08:27:48
3510122012|20190101|119|7155982942|1|259|2019-01-01 08:54:47
3510154268|20190101|471|7155985630|0|227|2019-01-01 09:20:54
3510186524|20190101|294|7155988318|0|212|2019-01-01 09:43:02
3510218780|20190101|1178.46|7155991006|0|234|2019-01-01 10:03:22
3510251036|20190101|2500|7155993694|0|7384|2019-01-01 10:22:23
3510283292|20190101|119|7155996382|0|250|2019-01-01 10:39:32
3510315548|20190101|824.82|7155999070|1|215|2019-01-01 10:55:38
3510347804|20190101|942.82|7156001758|0|216|2019-01-01 11:12:01
3510380060|20190101|825.58|7156004446|0|244|2019-01-01 11:28:54
3510412316|20190101|990|7156007134|1|1429|2019-01-01 11:45:33
3510444572|20190101|35|7156009822|0|248|2019-01-01 12:02:44
3510476828|20190101|399|7156012510|0|267|2019-01-01 12:18:24
3510509084|20190101|200|7156015198|0|99|2019-01-01 12:33:33
3510541340|20190101|588.44|7156017886|0|211|2019-01-01 12:47:37
3510573596|20190101|2000|7156020574|0|220|2019-01-01 13:02:21
3510605852|20190101|10|7156023262|1|258|2019-01-01 13:17:43
3510638108|20190101|399|7156025950|0|262|2019-01-01 13:35:25
3510670364|20190101|199|7156028638|1|249|2019-01-01 13:53:42
3509925752|20190101|23|7155966587|0|262|2019-01-01 00:11:29
3509958008|20190101|780|7155969275|0|213|2019-01-01 01:09:02
3509990264|20190101|488|7155971963|4|7787|2019-01-01 03:38:20
3510022520|20190101|29|7155974651|1|249|2019-01-01 07:01:19
3510054776|20190101|35|7155977339|0|262|2019-01-01 07:52:57
3510087032|20190101|448|7155980027|0|257|2019-01-01 08:25:17
3510119288|20190101|149|7155982715|0|268|2019-01-01 08:52:40
3510151544|20190101|869|7155985403|1|1429|2019-01-01 09:18:48
3509924552|20190101|558|7155966487|1|256|2019-01-01 00:10:00
3509956808|20190101|470|7155969175|0|213|2019-01-01 01:05:45
3509989064|20190101|49|7155971863|1|259|2019-01-01 03:27:42
3510021320|20190101|225|7155974551|1|99|2019-01-01 06:58:43
3510053576|20190101|949|7155977239|0|215|2019-01-01 07:51:27
3510085832|20190101|700|7155979927|0|99|2019-01-01 08:24:28
3510118088|20190101|643.58|7155982615|0|5861|2019-01-01 08:51:34
3510150344|20190101|119|7155985303|0|262|2019-01-01 09:17:44
3510182600|20190101|471|7155987991|0|212|2019-01-01 09:40:13
3510214856|20190101|350|7155990679|1|61774|2019-01-01 10:01:11
3510247112|20190101|145|7155993367|1|258|2019-01-01 10:20:03
3510279368|20190101|399|7155996055|1|259|2019-01-01 10:37:43
3510311624|20190101|399|7155998743|0|259|2019-01-01 10:53:38
3510343880|20190101|23|7156001431|0|249|2019-01-01 11:10:08
3510376136|20190101|10|7156004119|0|255|2019-01-01 11:26:41
3510408392|20190101|700|7156006807|0|99|2019-01-01 11:43:34
3510440648|20190101|7146|7156009495|1|30287|2019-01-01 12:00:37
3509933372|20190101|100|7155967222|1|59668|2019-01-01 00:22:01
3509965628|20190101|85|7155969910|4|7787|2019-01-01 01:29:04
3509997884|20190101|500|7155972598|1|1429|2019-01-01 05:02:24
3510030140|20190101|10|7155975286|1|260|2019-01-01 07:16:07
3510062396|20190101|499|7155977974|1|253|2019-01-01 08:01:28
3510094652|20190101|169|7155980662|1|259|2019-01-01 08:31:44
3510126908|20190101|35|7155983350|0|261|2019-01-01 08:58:38
3510159164|20190101|119|7155986038|0|253|2019-01-01 09:24:49
3510191420|20190101|491|7155988726|0|223|2019-01-01 09:46:30
3510223676|20190101|185|7155991414|0|1429|2019-01-01 10:06:06
3510255932|20190101|35|7155994102|0|259|2019-01-01 10:25:14
3510288188|20190101|398|7155996790|1|259|2019-01-01 10:42:06
3510320444|20190101|781.92|7155999478|1|8596|2019-01-01 10:58:27
3510352700|20190101|460|7156002166|0|305|2019-01-01 11:14:19
3509938712|20190101|440|7155967667|4|7787|2019-01-01 00:30:29
3509970968|20190101|245|7155970355|1|262|2019-01-01 01:44:08
3509946284|20190101|220|7155968298|0|99|2019-01-01 00:43:25
3509978540|20190101|95|7155970986|0|254|2019-01-01 02:18:43
3510010796|20190101|249|7155973674|0|259|2019-01-01 06:26:11
3510043052|20190101|1769|7155976362|1|233|2019-01-01 07:37:24
3509929544|20190101|349|7155966903|1|1429|2019-01-01 00:16:37
3509961800|20190101|764.64|7155969591|1|212|2019-01-01 01:18:21
3509994056|20190101|499|7155972279|1|269|2019-01-01 04:18:02
3510026312|20190101|300|7155974967|0|99|2019-01-01 07:09:20
3510058568|20190101|35|7155977655|1|247|2019-01-01 07:57:23
3510090824|20190101|229|7155980343|0|215|2019-01-01 08:28:45
3510123080|20190101|398|7155983031|1|265|2019-01-01 08:55:34
3510155336|20190101|179|7155985719|0|249|2019-01-01 09:21:44
3510187592|20190101|119|7155988407|1|248|2019-01-01 09:43:49
3509947328|20190101|2425|7155968385|0|4219|2019-01-01 00:45:28
3509979584|20190101|509|7155971073|0|269|2019-01-01 02:23:10
3510011840|20190101|649|7155973761|0|269|2019-01-01 06:31:37
3510044096|20190101|398|7155976449|0|264|2019-01-01 07:38:44
3510076352|20190101|65|7155979137|0|259|2019-01-01 08:15:44
3510108608|20190101|245|7155981825|0|256|2019-01-01 08:43:54
3510140864|20190101|225|7155984513|0|99|2019-01-01 09:10:18
3510173120|20190101|9|7155987201|0|249|2019-01-01 09:34:16
3510205376|20190101|119|7155989889|0|249|2019-01-01 09:55:30
3510237632|20190101|399|7155992577|1|262|2019-01-01 10:14:24
3510269888|20190101|1887|7155995265|0|243|2019-01-01 10:33:02
3510302144|20190101|280|7155997953|1|305|2019-01-01 10:48:46
3510334400|20190101|520|7156000641|0|220|2019-01-01 11:05:19
3510366656|20190101|9|7156003329|1|253|2019-01-01 11:21:27
3510398912|20190101|116|7156006017|1|210|2019-01-01 11:38:47
3510431168|20190101|3011.5|7156008705|0|2333|2019-01-01 11:55:52
3509935796|20190101|264.14|7155967424|0|229|2019-01-01 00:25:31
3509968052|20190101|1358.82|7155970112|1|1429|2019-01-01 01:35:15
3510000308|20190101|480|7155972800|0|99|2019-01-01 05:26:02
3510032564|20190101|399|7155975488|1|258|2019-01-01 07:20:27
3510064820|20190101|169|7155978176|0|249|2019-01-01 08:04:05
3510097076|20190101|397|7155980864|1|222|2019-01-01 08:33:47
